element,name,z_valence,ecut_eff,ecut_prec,eos_score,score,SC,BCC,FCC,DC,XO,XO2,XO3,X2O,X2O3,X2O5,ZA
P,DOJO-041-str,5,30,30,0.004685692648489997,0.004685692648489997,0.09,0.04,0.04,0.14,0.01,0.1,0.36,0.01,0.06,0.06,15
P,SPMS,5,30,30,0.0059506153320811085,0.0059506153320811085,0.09,0.05,0.04,0.15,0.01,0.11,0.36,0.01,0.07,0.06,15
P,PSL-US-v0.x,5,30,30,0.12215695525480778,0.12215695525480778,0.23,0.32,0.34,0.49,0.18,0.21,0.06,0.23,0.19,0.2,15
P,PSL-PAW-v0.x,5,30,30,0.13279816018694446,0.13279816018694446,0.3,0.35,0.36,0.55,0.2,0.18,0.11,0.24,0.18,0.17,15
P,SG15,5,50,50,0.00976414724526222,0.20976414724526224,0.11,0.03,0.03,0.18,0.04,0.05,0.2,0.03,0.01,0.1,15
P,PSL-PAW-v1-low,5,35,35,0.17840053448845886,0.22840053448845887,0.37,0.38,0.39,0.52,0.08,0.23,0.6,0.2,0.22,0.07,15
P,PSL-US-v1-low,5,35,35,0.18329501789425448,0.2332950178942545,0.38,0.39,0.39,0.52,0.09,0.23,0.63,0.21,0.23,0.06,15
P,JTH-1.1-std,5,,,0.0,,0.03,0.06,0.03,0.06,0.02,0.02,0.1,0.04,0.04,0.08,15
P,PSL-PAW-v1-high,5,,,0.0,,0.03,0.01,0.02,0.01,0.02,0.03,0.16,0.01,0.01,0.05,15
S,PSL-PAW-v1-high,6,30,30,0.0,0.0,0.01,0.04,0.03,0.01,0.01,0.05,0.52,0.02,0.02,0.05,16
S,DOJO-041-std,6,35,35,0.0,0.05,0.04,0.04,0.05,0.05,0.02,0.01,0.02,0.04,0.01,0.1,16
S,DOJO-050-std,6,35,35,0.0,0.05,0.03,0.03,0.04,0.04,0.01,0.0,0.02,0.03,0.02,0.09,16
S,JTH-1.1-std,6,35,35,0.0008060235309400002,0.050806023530940006,0.07,0.04,0.05,0.11,0.02,0.02,0.16,0.04,0.01,0.07,16
S,PSL-US-v1-low,6,35,35,0.07326286336950777,0.12326286336950777,0.24,0.25,0.24,0.2,0.08,0.13,0.7,0.14,0.16,0.01,16
S,PSL-PAW-v1-low,6,35,35,0.07613153525942112,0.1261315352594211,0.23,0.25,0.24,0.2,0.09,0.14,1.02,0.15,0.17,0.02,16
S,PSL-PAW-v0.x,6,30,30,0.2344705674536155,0.2344705674536155,0.5,0.46,0.47,0.64,0.24,0.28,0.22,0.35,0.25,0.24,16
S,SG15,6,,,0.22881272394206892,,0.48,0.46,0.46,0.47,0.13,0.3,1.05,0.29,0.26,0.1,16
S,SPMS,6,,,0.0,,0.06,0.06,0.07,0.07,0.03,0.02,0.08,0.06,0.0,0.11,16
S,PSL-US-v0.x,6,,,0.22773304708745,,0.47,0.44,0.46,0.61,0.23,0.34,0.1,0.35,0.28,0.28,16
S,PSL-US-v1-high,6,,,0.0,,0.04,0.05,0.04,0.02,0.02,0.02,0.27,0.01,0.03,0.07,16
S,GBRV-1.X,6,,,0.0033487911417088875,,0.07,0.08,0.09,0.09,0.05,0.06,0.29,0.08,0.07,0.13,16
Cl,PSL-PAW-v1-high,7,30,30,0.0,0.0,0.02,0.01,0.01,0.02,0.04,0.09,0.33,0.01,0.07,0.08,17
Cl,PSL-US-v1-high,7,30,30,0.0,0.0,0.03,0.03,0.02,0.03,0.03,0.07,0.26,0.01,0.06,0.08,17
Cl,SPMS,7,35,40,0.004814526612802221,0.05481452661280222,0.07,0.11,0.1,0.06,0.02,0.11,0.53,0.04,0.12,0.07,17
Cl,JTH-1.1-std,7,30,30,0.06175255390154223,0.06175255390154223,0.13,0.13,0.14,0.13,0.16,0.29,0.9,0.12,0.27,0.05,17
Cl,PSL-PAW-v0.x,7,30,30,0.10689175486931886,0.10689175486931886,0.33,0.31,0.31,0.37,0.15,0.11,0.04,0.22,0.12,0.21,17
Cl,DOJO-041-std,7,45,50,0.008289854505948886,0.15828985450594887,0.1,0.13,0.13,0.11,0.03,0.02,0.01,0.08,0.01,0.14,17
Cl,PSL-PAW-v1-low,7,60,60,0.0,0.3,0.04,0.03,0.04,0.04,0.01,0.01,0.03,0.02,0.02,0.12,17
